idmun,ano,esf
130406,2000,1
130406,2001,1
130406,2002,1
130406,2003,1
130406,2004,1
130406,2005,1
130406,2006,1
130406,2007,1
130406,2008,1
130406,2009,1
130406,2010,1
130406,2011,1
130406,2012,1
130406,2013,1
130406,2014,1
130406,2015,1
130410,1998,0
130410,1999,0
130410,2000,0
130410,2001,1
130410,2002,1
130410,2003,1
130410,2004,1
130410,2005,1
130410,2006,1
130410,2007,1
130410,2008,1
130410,2009,1
130410,2010,1
130410,2011,1
130410,2012,1
130410,2013,1
130410,2014,1
130410,2015,1
130420,1998,0
130420,1999,0
130420,2000,0
130420,2001,0
130420,2002,0
130420,2003,0
130420,2004,1
130420,2005,1
130420,2006,1
130420,2007,1
130420,2008,1
130420,2009,1
130420,2010,1
130420,2011,1
130420,2012,1
130420,2013,1
130420,2014,1
130420,2015,1
130423,1998,0
130423,1999,0
130423,2000,0
130423,2001,0
130423,2002,0
130423,2003,0
130423,2004,1
130423,2005,1
130423,2006,1
130423,2007,1
130423,2008,1
130423,2009,1
130423,2010,1
130423,2011,1
130423,2012,1
130423,2013,1
130423,2014,1
130423,2015,1
130426,1998,0
130426,1999,0
130426,2000,0
130426,2001,0
130426,2002,0
130426,2003,0
130426,2004,0
130426,2005,1
130426,2006,1
130426,2007,1
130426,2008,1
130426,2009,1
130426,2010,1
130426,2011,1
130426,2012,1
130426,2013,1
130426,2014,1
130426,2015,1
130430,1998,0
130430,1999,1
130430,2000,1
130430,2001,1
130430,2002,1
130430,2003,1
130430,2004,1
130430,2005,1
130430,2006,1
130430,2007,1
130430,2008,1
130430,2009,1
130430,2010,1
130430,2011,1
130430,2012,1
130430,2013,1
130430,2014,1
130430,2015,1
130440,1998,0
130440,1999,0
130440,2000,0
130440,2001,1
130440,2002,1
130440,2003,1
130440,2004,1
130440,2005,1
130440,2006,1
130440,2007,1
130440,2008,1
130440,2009,1
130440,2010,1
130440,2011,1
130440,2012,1
130440,2013,1
130440,2014,1
130440,2015,1
140005,1998,0
140005,1999,1
140005,2000,1
140005,2001,1
140005,2002,1
140005,2003,1
140005,2004,1
140005,2005,1
140005,2006,1
140005,2007,1
140005,2008,1
140005,2009,1
140005,2010,1
140005,2011,1
140005,2012,1
140005,2013,1
140005,2014,1
140005,2015,1
140010,1998,0
140010,1999,1
140010,2000,1
