espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
76,99;2,12;12,83;44,03;11,19;0,46;840,87;2,08;70,6;2,73;47,39;1,16;9,09;89,86;11,14;96,04;99,66;0,39;0,34;4470;4204;5333;7554;8650;8620;0;0,737
75,76;1,54;14,67;43,66;12,04;0,41;579,87;0,36;71,77;1,98;11,01;12,43;13,08;98,28;6,36;100;98,98;1,74;1,02;902;855;1111;1549;1746;1743;1;0,717
77,39;1,81;12,25;40,46;9,73;0,41;835,48;3,64;60,24;3,17;59,55;4,22;11,14;96,82;17,05;100;99,67;0;0,33;15494;15466;16082;26697;30700;30700;0;0,760
76,33;1,89;13,81;42,73;10,83;0,47;709,63;1,16;64,99;3,78;30,36;6,55;17,68;74,91;6,16;100;100;0,06;0;2693;2615;2991;4603;5299;5274;1;0,720
76,36;1,25;13,76;36,92;9,19;0,47;1214,03;3,46;69,97;2,5;69,74;2,06;5,92;98,94;8,5;99,8;100;1,17;0;18244;18530;22655;32378;36602;36602;0;0,784
72,88;2,76;19,61;57,41;10,49;0,47;412,31;1,57;60,23;3,4;54,68;2,94;10,81;92,86;27,68;97,16;96,85;2,92;3,15;3612;3555;3460;5745;7143;6946;1;0,659
73,85;2,22;17,85;51,43;9,23;0,47;539,69;1,09;53,97;7,74;60,24;2,16;14,23;95,87;27,94;99,35;99,27;3,07;0,73;9057;9072;8058;14931;18091;18010;1;0,706
77,94;1,36;11,48;38,31;11,25;0,34;784,39;2,07;54,67;1,88;62,97;0,89;16,85;95,43;6,45;99,12;100;0;0;1789;1738;1719;3143;3527;3524;0;0,774
77,83;1,57;11,64;38,92;9,6;0,36;746,89;2,86;68,95;0,39;42,73;3,35;8,8;76,82;8,91;92,57;100;0,36;0;3451;3425;4173;6052;6866;6859;1;0,729
77,43;1,98;12,19;42,22;10,44;0,62;1471,95;4,75;70,42;2,4;53,78;2,31;7,65;89,64;7,86;99,45;100;0,13;0;3150;3191;3832;5442;6316;6313;0;0,795
77,77;2,12;11,73;42,98;10,05;0,44;905,3;3,51;67,95;1,75;55,03;5,02;9,24;91,75;8,46;99,53;100;0,21;0;3268;3285;3824;5628;6503;6503;0;0,775
76,96;1,4;12,87;36,25;10,72;0,47;1077,62;4,96;61,66;3,43;61,31;3,51;8,69;93,21;8,45;99,85;99,83;0,68;0,17;47114;50121;53040;86018;96823;96626;0;0,796
74,79;1,48;16,24;42,33;11,49;0,41;742,67;3,75;79,79;0,87;20,7;5,1;12,19;95,85;6,69;100;99,68;1,45;0,32;2368;2265;3253;4077;4623;4623;0;0,752
77,01;1,5;12,8;39,92;10,08;0,4;810,85;2,58;69,58;3,52;47,21;3,88;14,22;79,46;9,06;97,85;100;0;0;5850;6004;7195;10341;11773;11773;0;0,740
74,37;2,21;16,96;46,38;11,13;0,37;634,81;0,57;64,17;2,44;17,6;6,54;13,45;87,3;6,64;98,73;98,71;0,57;1,29;1475;1435;1629;2538;2910;2910;1;0,705
74,4;2,09;16,89;47,8;9,73;0,52;713,25;1,73;64,48;1,8;27,67;6,57;22,91;82,85;15,2;99,6;99,83;0;0,17;5396;5303;5830;9042;10689;10689;1;0,694
74,4;1,68;16,89;44,3;10,84;0,42;508,79;2,8;54,55;1,39;23,22;11,65;22,48;78,44;8,64;99,84;99,53;0,08;0,47;1274;1208;1170;2145;2466;2466;1;0,699
